company_nature,stock_id,stock_name,stock_website
民营企业,000001.SZ,平安银行,http://www.bank.pingan.com 
国有相对控股企业,000002.SZ,万科A,http://www.vanke.com 
其它,000004.SZ,国农科技,http://www.sz000004.cn 
中外合资企业,000005.SZ,世纪星源,http://www.fountain.com.cn 
其它,000006.SZ,深振业A,http://www.zhenye.com 
民营相对控股企业,000007.SZ,全新好,http://www.sz000007.com 
国有企业,000008.SZ,神州高铁,http://www.shenzhou-gaotie.com 
民营企业,000009.SZ,中国宝安,http://www.chinabaoan.com 
民营相对控股企业,000010.SZ,*ST美丽,http://www.eco-beauty.cn 
其它,000011.SZ,深物业A,http://www.szwuye.com.cn 
民营企业,000012.SZ,南玻A,http://www.csgholding.com 
其它,000014.SZ,沙河股份,http://www.shahe.cn 
其它,000016.SZ,深康佳A,http://www.konka.com 
其它,000017.SZ,*ST中华A,http://www.cbc.com.cn 
其它,000019.SZ,深粮控股,http://www.slkg1949.com 
民营相对控股企业,000020.SZ,深华发A,http://www.hwafa.com.cn 
其它,000021.SZ,深科技,http://www.kaifa.cn 
其它,000023.SZ,深天地A,http://www.sztiandi.com 
"0755-83989378,0755-83989339",000025.SZ,特力A,http://www.tellus.cn 
其它,000026.SZ,飞亚达,http://www.fiytagroup.com 
其它,000027.SZ,深圳能源,http://www.sec.com.cn 
其它,000028.SZ,国药一致,http://www.szaccord.com.cn 
其它,000029.SZ,深深房A,http://www.sfjt.com.cn 
其它,000030.SZ,富奥股份,http://www.fawer.com.cn 
其它,000031.SZ,大悦城,http://www.cofco-property.cn 
其它,000032.SZ,深桑达A,http://www.sedind.com 
其它,000034.SZ,神州数码,http://www.digitalchina.com 
其它,000035.SZ,中国天楹,http://www.ctyi.com.cn 
其它,000036.SZ,华联控股,http://www.udcgroup.com 
其它,000037.SZ,深南电A,http://www.nsrd.com.cn 
其它,000038.SZ,深大通,http://www.chinadatong.com 
于玉群,000039.SZ,中集集团,http://www.cimc.com 
其它,000040.SZ,东旭蓝天,http://www.dongxulantian.com 
投资公司,000042.SZ,中洲控股,http://www.zztzkg.com 
其它,000045.SZ,深纺织A,http://www.chinasthc.com 
